feature,label
"[-188.34274291992188, 89.50370788574219, -6.439263820648193, 14.242364883422852, -5.645511150360107, 18.630434036254883, 4.592238426208496, 4.331650257110596, -1.837088704109192, 6.085144519805908, 13.90690803527832, -0.4513106644153595, -7.426916122436523]",marah
"[-149.583984375, 85.51205444335938, -14.317526817321777, 17.7738094329834, 2.4747512340545654, 22.54051399230957, -1.133916974067688, -0.2273520976305008, 1.7209959030151367, 2.049565553665161, 9.831757545471191, 9.60683822631836, -8.88229751586914]",marah
"[-161.63328552246094, 99.73027801513672, -12.050389289855957, 12.714766502380371, 3.348691940307617, 13.514933586120605, -0.25084489583969116, -0.752555251121521, 10.037158966064453, 2.538949728012085, 0.5085576772689819, 4.6179327964782715, -2.135026693344116]",marah
"[-228.97726440429688, 101.90057373046875, -24.670625686645508, -8.330694198608398, -39.443912506103516, -3.115931272506714, -4.162714004516602, 1.5221688747406006, -1.3080366849899292, -13.061491012573242, 0.267581582069397, 13.413623809814453, 4.965972423553467]",marah
"[-113.01158905029297, 95.29513549804688, -17.209442138671875, 6.860470294952393, 4.6391801834106445, 10.431056022644043, 1.42353093624115, -2.0869596004486084, 1.420623779296875, 2.260916233062744, -2.1556572914123535, 7.152634620666504, 1.8395432233810425]",marah
"[-48.815582275390625, 48.731632232666016, -25.791027069091797, 25.78997039794922, 3.8549962043762207, 21.375457763671875, -3.806776285171509, 0.15368151664733887, 7.138309955596924, 7.626354217529297, -4.10476016998291, 5.438536167144775, 1.2356008291244507]",marah
"[-65.68415069580078, 61.844322204589844, -27.010019302368164, 20.209510803222656, 3.275646686553955, 27.98265266418457, -4.157223701477051, 8.932618141174316, -2.873342514038086, 4.877753257751465, -0.2796030342578888, -4.7267231941223145, 1.8570257425308228]",marah
"[-50.56792449951172, 59.16875076293945, -40.310821533203125, 20.63741111755371, 6.661445140838623, 26.742816925048828, -7.488528728485107, 13.46800708770752, 5.94217586517334, 3.7346866130828857, -4.543846607208252, -12.1404390335083, 2.939727544784546]",marah
"[-31.9017276763916, 52.604042053222656, -40.77939224243164, 17.866493225097656, -1.0042026042938232, 23.5527400970459, -10.751119613647461, 17.007051467895508, 17.141088485717773, 1.9271013736724854, -9.378028869628906, -5.710589408874512, 2.877556562423706]",marah
"[-54.191165924072266, 82.64414978027344, -25.695358276367188, -0.2201078087091446, -0.2915154993534088, 26.11923599243164, -8.83861255645752, 10.25632095336914, 10.162690162658691, 0.7427533864974976, -1.142227053642273, 4.70869255065918, -0.37198591232299805]",marah
"[-140.4903564453125, 123.28995513916016, -11.6145601272583, -15.858049392700195, -12.873832702636719, 33.88945388793945, -1.6237273216247559, 3.1967599391937256, 2.222500801086426, -4.372491359710693, 6.508460521697998, 8.586674690246582, -3.587052822113037]",marah
"[-133.34518432617188, 103.9236068725586, -39.0861701965332, 3.06795597076416, 0.515060544013977, 20.378103256225586, 22.929115295410156, -2.1099421977996826, 4.888794898986816, 9.074553489685059, -2.376814603805542, 2.953467607498169, -4.727482318878174]",marah
"[-142.58956909179688, 112.68196868896484, -48.71312713623047, 11.828017234802246, 8.145174026489258, 6.123569488525391, 32.17848205566406, -3.6786584854125977, 7.091344356536865, 8.550156593322754, -8.958112716674805, 8.038568496704102, -6.73114013671875]",marah
"[-115.10755157470703, 117.90222930908203, -51.59758377075195, 2.598789930343628, -5.986088752746582, 13.207484245300293, 18.876937866210938, -5.084929943084717, 16.294677734375, 17.32919692993164, 3.9971024990081787, -0.6578999757766724, -10.783504486083984]",marah
"[-177.78079223632812, 91.74658966064453, -36.29069900512695, -15.428934097290039, -41.11408615112305, 2.2146382331848145, -11.459636688232422, -5.313662528991699, 2.537733316421509, -16.581382751464844, 6.878638744354248, 11.351181983947754, 6.331268787384033]",marah
"[-82.6767807006836, 92.8211898803711, -38.87157440185547, 0.1326766461133957, -10.780717849731445, 13.21939468383789, 7.515401363372803, 10.021710395812988, 12.866774559020996, 20.469301223754883, -3.2736058235168457, -5.965436935424805, -9.126322746276855]",marah
"[-100.29227447509766, 88.9654769897461, -21.41951560974121, 4.55103063583374, -12.905003547668457, 17.08644676208496, -2.2385661602020264, 15.095006942749023, 11.944276809692383, 8.817792892456055, -2.3449747562408447, -7.952080726623535, -11.900773048400879]",marah
"[-126.99296569824219, 99.35017395019531, -20.470184326171875, 5.21134090423584, -13.288325309753418, 22.40866470336914, -1.7034454345703125, 8.47453784942627, 10.017952919006348, 6.76021146774292, -0.7840774059295654, -8.384929656982422, -8.260129928588867]",marah
"[-117.38188934326172, 94.03114318847656, -22.179922103881836, 0.384379118680954, -12.646207809448242, 25.419401168823242, 2.000206708908081, 4.420966625213623, 10.44522476196289, 7.8621087074279785, 1.6958667039871216, -6.725016117095947, -8.225641250610352]",marah
"[-133.08795166015625, 49.1507682800293, 4.182872295379639, 28.135055541992188, 11.514450073242188, 19.394140243530273, 5.913999080657959, -3.955486536026001, -5.455656051635742, 20.1712589263916, 4.410440921783447, -6.266395092010498, -7.604868412017822]",marah
"[-151.58482360839844, 72.27338409423828, 1.8804452419281006, 25.382831573486328, 12.935628890991211, 13.15095043182373, 2.233349084854126, 0.4142981171607971, -5.450868606567383, 19.744306564331055, 2.224581718444824, -5.146175384521484, -4.76772403717041]",marah
"[-105.1483383178711, 45.817562103271484, -6.683803081512451, 23.914409637451172, 2.993044137954712, 10.651551246643066, 9.967618942260742, 13.68634033203125, 2.6857473850250244, 9.399831771850586, -0.39392223954200745, 0.36055120825767517, -0.05983508378267288]",marah
"[-115.69600677490234, 44.158050537109375, -5.165657043457031, 35.8795051574707, 1.5377956628799438, 15.744771957397461, 0.4351310729980469, 15.950543403625488, 6.3536858558654785, 12.056371688842773, -7.235795021057129, -1.8189061880111694, 0.5050183534622192]",marah
"[-125.22929382324219, 49.81095886230469, 7.500708103179932, 29.36677360534668, 3.153337001800537, 21.70323371887207, 4.107400417327881, 12.400227546691895, 12.808771133422852, 14.925909996032715, -2.6354894638061523, 4.661674976348877, 1.1339658498764038]",marah
"[-186.9061737060547, 92.23552703857422, 20.59598159790039, 14.048174858093262, 5.342385292053223, 14.385948181152344, 8.574268341064453, 2.8677453994750977, 6.219294548034668, 11.610824584960938, -0.7355411052703857, 5.1597208976745605, -2.6686928272247314]",marah
"[-271.6363830566406, 91.07341766357422, -18.886240005493164, -9.444631576538086, -23.14823341369629, 6.211815357208252, -4.8793745040893555, -5.609199047088623, 1.0535672903060913, -7.851406097412109, 3.654233455657959, 5.630836486816406, 3.0895681381225586]",marah
"[-129.5692901611328, 82.92809295654297, -5.625372409820557, 16.284791946411133, 6.163318634033203, 11.61561393737793, 2.801448106765747, 9.801477432250977, -6.682955265045166, 15.374089241027832, 2.5979347229003906, -1.5884190797805786, -8.472192764282227]",marah
"[-135.0296173095703, 92.41159057617188, 2.501984119415283, 16.228784561157227, -2.4454591274261475, 8.719195365905762, -6.112112998962402, 3.952144145965576, -4.527101039886475, 15.565479278564453, 2.924487352371216, -1.2521334886550903, -7.468124866485596]",marah
"[-154.12832641601562, 114.83201599121094, -8.532158851623535, 8.091754913330078, -22.72569465637207, 13.553268432617188, -1.9522178173065186, 2.3130953311920166, 2.0582268238067627, -1.7199238538742065, 5.949604511260986, 17.35147476196289, 1.9140475988388062]",marah
"[-132.2845458984375, 133.3329620361328, -7.902544021606445, -3.544957160949707, -27.013099670410156, 5.444710731506348, 0.04524271935224533, 8.581233024597168, 3.2955193519592285, -11.570452690124512, 3.4620201587677, 13.617416381835938, 4.695995807647705]",marah
"[-100.00625610351562, 127.56966400146484, -14.222667694091797, 6.589611053466797, -19.641328811645508, 16.723865509033203, 1.2460722923278809, 1.4225467443466187, 12.66277027130127, -13.24206256866455, 11.50674819946289, 13.506404876708984, 6.99088716506958]",marah
"[-144.30670166015625, 114.97772216796875, 12.239700317382812, 15.577622413635254, -8.197507858276367, 20.403322219848633, 3.9469051361083984, 6.92364501953125, 10.611050605773926, -1.807708501815796, 6.687134265899658, 12.109638214111328, 3.227407217025757]",marah
"[-73.0355224609375, 109.61972045898438, -13.895257949829102, 1.4739354848861694, -34.46200180053711, 9.553677558898926, 2.3493146896362305, 10.205347061157227, 5.283571243286133, -4.484691619873047, 11.683162689208984, 16.183195114135742, 6.977608680725098]",marah
"[-132.95066833496094, 116.07760620117188, 1.1930875778198242, -2.5589191913604736, -20.147031784057617, 14.386048316955566, 3.3544821739196777, 5.961606502532959, 8.114243507385254, -1.8496428728103638, 5.2988362312316895, 10.089753150939941, 1.622074842453003]",marah
"[-143.76712036132812, 119.09823608398438, 2.0246691703796387, -8.23861312866211, -17.8579158782959, 24.02826499938965, -4.4389872550964355, 5.564291000366211, 4.954076766967773, 0.6771181225776672, 8.278983116149902, 8.778636932373047, -1.8405710458755493]",marah
